"sample_name","phenotype_label","neighbor_phenotype_label","interactions","count","fraction","region_label"
"MEL2","CD8+ PD1+","CD8+ PD1+",105,12,0.114285714285714,"Tumor"
"MEL2","CD8+ PD1+","CD8+ PD1-",105,4,0.0380952380952381,"Tumor"
"MEL2","CD8+ PD1+","OTHER PDL1+",105,36,0.342857142857143,"Tumor"
"MEL2","CD8+ PD1+","OTHER PDL1-",105,9,0.0857142857142857,"Tumor"
"MEL2","CD8+ PD1+","SOX10+ PDL1+",105,17,0.161904761904762,"Tumor"
"MEL2","CD8+ PD1+","SOX10+ PDL1-",105,27,0.257142857142857,"Tumor"
"MEL2","CD8+ PD1-","CD8+ PD1+",284,4,0.0140845070422535,"Tumor"
"MEL2","CD8+ PD1-","CD8+ PD1-",284,8,0.028169014084507,"Tumor"
"MEL2","CD8+ PD1-","OTHER PDL1+",284,8,0.028169014084507,"Tumor"
"MEL2","CD8+ PD1-","OTHER PDL1-",284,25,0.0880281690140845,"Tumor"
"MEL2","CD8+ PD1-","SOX10+ PDL1+",284,18,0.0633802816901408,"Tumor"
"MEL2","CD8+ PD1-","SOX10+ PDL1-",284,221,0.778169014084507,"Tumor"
"MEL2","OTHER PDL1+","CD8+ PD1+",750,36,0.048,"Tumor"
"MEL2","OTHER PDL1+","CD8+ PD1-",750,8,0.0106666666666667,"Tumor"
"MEL2","OTHER PDL1+","OTHER PDL1+",750,304,0.405333333333333,"Tumor"
"MEL2","OTHER PDL1+","OTHER PDL1-",750,67,0.0893333333333333,"Tumor"
"MEL2","OTHER PDL1+","SOX10+ PDL1+",750,143,0.190666666666667,"Tumor"
"MEL2","OTHER PDL1+","SOX10+ PDL1-",750,192,0.256,"Tumor"
"MEL2","OTHER PDL1-","CD8+ PD1+",1432,9,0.00628491620111732,"Tumor"
"MEL2","OTHER PDL1-","CD8+ PD1-",1432,25,0.0174581005586592,"Tumor"
"MEL2","OTHER PDL1-","OTHER PDL1+",1432,67,0.0467877094972067,"Tumor"
"MEL2","OTHER PDL1-","OTHER PDL1-",1432,390,0.272346368715084,"Tumor"
