"sample_name","phenotype_label","neighbor_phenotype_label","mean_distance_um","stderr_distance_um","region_label"
"MEL2","CD8+ PD1-","CD8+ PD1-",NA,NA,"Tumor"
"MEL2","CD8+ PD1-","CD8+ PD1+",NA,NA,"Tumor"
"MEL2","CD8+ PD1-","OTHER PDL1-",NA,NA,"Tumor"
"MEL2","CD8+ PD1-","OTHER PDL1+",NA,NA,"Tumor"
"MEL2","CD8+ PD1-","SOX10+ PDL1-",NA,NA,"Tumor"
"MEL2","CD8+ PD1-","SOX10+ PDL1+",NA,NA,"Tumor"
"MEL2","CD8+ PD1+","CD8+ PD1-",NA,NA,"Tumor"
"MEL2","CD8+ PD1+","CD8+ PD1+",0,0,"Tumor"
"MEL2","CD8+ PD1+","OTHER PDL1-",25.0422921090991,2.33151679400171,"Tumor"
"MEL2","CD8+ PD1+","OTHER PDL1+",40.263359512474,4.46769422233124,"Tumor"
"MEL2","CD8+ PD1+","SOX10+ PDL1-",11.1336710032966,0.720449623928428,"Tumor"
"MEL2","CD8+ PD1+","SOX10+ PDL1+",30.0034459991519,2.87639371666533,"Tumor"
"MEL2","OTHER PDL1-","CD8+ PD1-",NA,NA,"Tumor"
"MEL2","OTHER PDL1-","CD8+ PD1+",71.3765969644128,3.90738706154136,"Tumor"
"MEL2","OTHER PDL1-","OTHER PDL1-",0,0,"Tumor"
"MEL2","OTHER PDL1-","OTHER PDL1+",70.282230712167,3.2916759745624,"Tumor"
"MEL2","OTHER PDL1-","SOX10+ PDL1-",10.3352666537226,0.2350224009411,"Tumor"
"MEL2","OTHER PDL1-","SOX10+ PDL1+",78.457569039827,3.83233834970492,"Tumor"
"MEL2","OTHER PDL1+","CD8+ PD1-",NA,NA,"Tumor"
"MEL2","OTHER PDL1+","CD8+ PD1+",32.8809581182616,2.56945108529635,"Tumor"
"MEL2","OTHER PDL1+","OTHER PDL1-",23.8514158133998,0.827414458730702,"Tumor"
"MEL2","OTHER PDL1+","OTHER PDL1+",0,0,"Tumor"
"MEL2","OTHER PDL1+","SOX10+ PDL1-",15.2907690404318,0.623474576177136,"Tumor"
"MEL2","OTHER PDL1+","SOX10+ PDL1+",21.151035894579,2.027358154877,"Tumor"
"MEL2","SOX10+ PDL1-","CD8+ PD1-",NA,NA,"Tumor"
"MEL2","SOX10+ PDL1-","CD8+ PD1+",81.0131877398504,1.51733967838031,"Tumor"
"MEL2","SOX10+ PDL1-","OTHER PDL1-",29.9890155520055,0.627696637499784,"Tumor"
"MEL2","SOX10+ PDL1-","OTHER PDL1+",80.0288701161158,1.14938720384895,"Tumor"
