"sample_name","phenotype_label","neighbor_phenotype_label","cummulative_count","mean_interaction_density_mm2","stderr_interaction_density_mm2","frame_count","region_label"
"MEL2","CD8+ PD1+","CD8+ PD1+",12,29.9870345066814,2.28952111905945,2,"Tumor"
"MEL2","CD8+ PD1+","CD8+ PD1-",4,9.51404335327914,2.58966500637366,2,"Tumor"
"MEL2","CD8+ PD1+","OTHER PDL1+",36,74.0671546047607,67.1427762578553,2,"Tumor"
"MEL2","CD8+ PD1+","OTHER PDL1-",9,23.935180326855,3.76233306076695,2,"Tumor"
"MEL2","CD8+ PD1+","SOX10+ PDL1+",17,41.5183625865693,6.89647085204191,2,"Tumor"
"MEL2","CD8+ PD1+","SOX10+ PDL1-",27,66.0259231931891,10.6308964179453,2,"Tumor"
"MEL2","CD8+ PD1-","CD8+ PD1+",4,9.51404335327914,2.58966500637366,2,"Tumor"
"MEL2","CD8+ PD1-","CD8+ PD1-",8,24.807704493934,16.7385655874988,2,"Tumor"
"MEL2","CD8+ PD1-","OTHER PDL1+",8,19.0280867065583,5.17933001274732,2,"Tumor"
"MEL2","CD8+ PD1-","OTHER PDL1-",25,67.7709715273473,15.3215686355185,2,"Tumor"
"MEL2","CD8+ PD1-","SOX10+ PDL1+",18,52.2050739942417,23.9630878217185,2,"Tumor"
"MEL2","CD8+ PD1-","SOX10+ PDL1-",221,694.343489437702,496.64958623004,2,"Tumor"
"MEL2","OTHER PDL1+","CD8+ PD1+",36,74.0671546047607,67.1427762578553,2,"Tumor"
"MEL2","OTHER PDL1+","CD8+ PD1-",8,19.0280867065583,5.17933001274732,2,"Tumor"
"MEL2","OTHER PDL1+","OTHER PDL1+",304,630.593410251202,547.500870088337,2,"Tumor"
"MEL2","OTHER PDL1+","OTHER PDL1-",67,145.272407810697,96.8017593823588,2,"Tumor"
"MEL2","OTHER PDL1+","SOX10+ PDL1+",143,317.369804841937,178.882237903828,2,"Tumor"
"MEL2","OTHER PDL1+","SOX10+ PDL1-",192,475.45783876637,53.0707596051358,2,"Tumor"
"MEL2","OTHER PDL1-","CD8+ PD1+",9,23.935180326855,3.76233306076695,2,"Tumor"
"MEL2","OTHER PDL1-","CD8+ PD1-",25,67.7709715273473,15.3215686355185,2,"Tumor"
"MEL2","OTHER PDL1-","OTHER PDL1+",67,145.272407810697,96.8017593823588,2,"Tumor"
"MEL2","OTHER PDL1-","OTHER PDL1-",390,908.113016912323,326.465235772263,2,"Tumor"
"MEL2","OTHER PDL1-","SOX10+ PDL1+",45,115.341188293743,2.37324360365015,2,"Tumor"
"MEL2","OTHER PDL1-","SOX10+ PDL1-",896,2421.57150495016,521.289292484669,2,"Tumor"
"MEL2","SOX10+ PDL1+","CD8+ PD1+",17,41.5183625865693,6.89647085204191,2,"Tumor"
"MEL2","SOX10+ PDL1+","CD8+ PD1-",18,52.2050739942417,23.9630878217185,2,"Tumor"
"MEL2","SOX10+ PDL1+","OTHER PDL1+",143,317.369804841937,178.882237903828,2,"Tumor"
"MEL2","SOX10+ PDL1+","OTHER PDL1-",45,115.341188293743,2.37324360365015,2,"Tumor"
"MEL2","SOX10+ PDL1+","SOX10+ PDL1+",126,291.745391170651,111.711554151109,2,"Tumor"
"MEL2","SOX10+ PDL1+","SOX10+ PDL1-",200,540.722867771934,117.093075184086,2,"Tumor"
"MEL2","SOX10+ PDL1-","CD8+ PD1+",27,66.0259231931891,10.6308964179453,2,"Tumor"
"MEL2","SOX10+ PDL1-","CD8+ PD1-",221,694.343489437702,496.64958623004,2,"Tumor"
"MEL2","SOX10+ PDL1-","OTHER PDL1+",192,475.45783876637,53.0707596051358,2,"Tumor"
"MEL2","SOX10+ PDL1-","OTHER PDL1-",896,2421.57150495016,521.289292484669,2,"Tumor"
"MEL2","SOX10+ PDL1-","SOX10+ PDL1+",200,540.722867771934,117.093075184086,2,"Tumor"
"MEL2","SOX10+ PDL1-","SOX10+ PDL1-",8144,22113.0209073861,5127.48350934002,2,"Tumor"
"MEL3","CD8+ PD1+","CD8+ PD1+",6,14.0692596649007,5.28608048744512,2,"Tumor"
"MEL3","CD8+ PD1+","CD8+ PD1-",0,0,0,2,"Tumor"
"MEL3","CD8+ PD1+","OTHER PDL1+",1,2.19579479436389,2.19579479436389,2,"Tumor"
"MEL3","CD8+ PD1+","OTHER PDL1-",2,4.39158958872778,4.39158958872778,2,"Tumor"
"MEL3","CD8+ PD1+","SOX10+ PDL1+",68,151.997518712897,93.9314982558592,2,"Tumor"
"MEL3","CD8+ PD1+","SOX10+ PDL1-",27,62.1935548686564,0.711300626467462,2,"Tumor"
"MEL3","CD8+ PD1-","CD8+ PD1+",0,0,0,2,"Tumor"
"MEL3","CD8+ PD1-","CD8+ PD1-",2,4.83883503808645,4.83883503808645,2,"Tumor"
"MEL3","CD8+ PD1-","OTHER PDL1+",0,0,0,2,"Tumor"
"MEL3","CD8+ PD1-","OTHER PDL1-",3,6.81100710777101,1.97217206968456,2,"Tumor"
"MEL3","CD8+ PD1-","SOX10+ PDL1+",7,15.5941862852266,10.7553512471401,2,"Tumor"
"MEL3","CD8+ PD1-","SOX10+ PDL1-",20,47.2702367574679,25.3122888138289,2,"Tumor"
"MEL3","OTHER PDL1+","CD8+ PD1+",1,2.19579479436389,2.19579479436389,2,"Tumor"
"MEL3","OTHER PDL1+","CD8+ PD1-",0,0,0,2,"Tumor"
"MEL3","OTHER PDL1+","OTHER PDL1+",0,0,0,2,"Tumor"
"MEL3","OTHER PDL1+","OTHER PDL1-",3,6.58738438309168,6.58738438309167,2,"Tumor"
"MEL3","OTHER PDL1+","SOX10+ PDL1+",31,68.29326134996,63.4544263118735,2,"Tumor"
"MEL3","OTHER PDL1+","SOX10+ PDL1-",11,24.8246109120408,10.3081057977815,2,"Tumor"
"MEL3","OTHER PDL1-","CD8+ PD1+",2,4.39158958872778,4.39158958872778,2,"Tumor"
"MEL3","OTHER PDL1-","CD8+ PD1-",3,6.81100710777101,1.97217206968456,2,"Tumor"
"MEL3","OTHER PDL1-","OTHER PDL1+",3,6.58738438309168,6.58738438309167,2,"Tumor"
"MEL3","OTHER PDL1-","OTHER PDL1-",66,151.183892719038,15.6965116526175,2,"Tumor"
"MEL3","OTHER PDL1-","SOX10+ PDL1+",60,136.22014215542,39.4434413936911,2,"Tumor"
