Cell X Position	Cell Y Position	Phenotype	Cell ID	Nucleus Area (pixels)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Entire Cell PD-1 (Opal 540) Mean (Normalized Counts, Total Weighting)	Nucleus PD-1 (Opal 540) Mean (Normalized Counts, Total Weighting)	Membrane PD-1 (Opal 540) Mean (Normalized Counts, Total Weighting)	Membrane Area (pixels)	Membrane Area (percent)	Membrane Compactness	Membrane Minor Axis	Membrane Major Axis	Nucleus PD-Ligand-1 (Opal 690) Mean (Normalized Counts, Total Weighting)	Entire Cell PD-Ligand-1 (Opal 690) Mean (Normalized Counts, Total Weighting)	Membrane PD-Ligand-1 (Opal 690) Mean (Normalized Counts, Total Weighting)	Entire Cell Area (pixels)	Entire Cell Area (percent)	Entire Cell Compactness	Entire Cell Minor Axis	Entire Cell Major Axis	Confidence
199	45	OTHER	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
130	125	OTHER	2	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
125	115	OTHER	3	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
185	35	OTHER	4	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
85	35	TUMOR	5	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10	105	T-CELL	6	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
45	95	TUMOR	7	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
25	115	TUMOR	8	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
15	95	TUMOR	9	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
80	85	T-CELL	10	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
30	85	TUMOR	11	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
120	25	OTHER	12	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
190	85	OTHER	13	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
10	5	T-CELL	14	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
100	65	TUMOR	15	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
125	55	OTHER	16	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
30	125	TUMOR	17	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0	85	OTHER	18	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
195	75	OTHER	19	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
135	75	OTHER	20	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
105	35	TUMOR	21	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
55	15	TUMOR	22	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
145	55	OTHER	23	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0	105	TUMOR	24	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20	85	TUMOR	25	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
85	115	TUMOR	26	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
130	5	OTHER	27	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
100	85	OTHER	28	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
30	45	OTHER	29	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
160	85	OTHER	30	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
165	115	OTHER	31	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
195	15	OTHER	32	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
175	75	OTHER	33	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
175	15	OTHER	34	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
90	105	TUMOR	35	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
45	15	T-CELL	36	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
199	125	OTHER	37	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
115	75	OTHER	38	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
30	105	TUMOR	39	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
15	75	TUMOR	40	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
195	115	OTHER	41	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
120	45	OTHER	42	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
65	115	TUMOR	43	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
40	85	TUMOR	44	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0	25	TUMOR	45	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
130	25	OTHER	46	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
140	45	OTHER	47	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
65	35	TUMOR	48	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
