Cell X Position	Cell Y Position	Phenotype	Cell ID	Nucleus Area (pixels)	Nucleus Area (percent)	Nucleus Compactness	Nucleus Minor Axis	Nucleus Major Axis	Entire Cell PD-1 (Opal 540) Mean (Normalized Counts, Total Weighting)	Nucleus PD-1 (Opal 540) Mean (Normalized Counts, Total Weighting)	Membrane PD-1 (Opal 540) Mean (Normalized Counts, Total Weighting)	Membrane Area (pixels)	Membrane Area (percent)	Membrane Compactness	Membrane Minor Axis	Membrane Major Axis	Nucleus PD-Ligand-1 (Opal 690) Mean (Normalized Counts, Total Weighting)	Entire Cell PD-Ligand-1 (Opal 690) Mean (Normalized Counts, Total Weighting)	Membrane PD-Ligand-1 (Opal 690) Mean (Normalized Counts, Total Weighting)	Entire Cell Area (pixels)	Entire Cell Area (percent)	Entire Cell Compactness	Entire Cell Minor Axis	Entire Cell Major Axis	Confidence
35	15	OTHER	1	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
60	25	OTHER	2	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
115	55	T-CELL	3	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
110	45	TUMOR	4	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
120	105	OTHER	5	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
165	55	TUMOR	6	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
130	125	OTHER	7	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
50	5	TUMOR	8	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
185	15	TUMOR	9	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
190	5	OTHER	10	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
195	35	TUMOR	11	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
160	85	OTHER	12	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
35	75	OTHER	13	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
10	105	TUMOR	14	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
150	105	TUMOR	15	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
170	5	TUMOR	16	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
155	35	TUMOR	17	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
70	5	T-CELL	18	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
95	15	TUMOR	19	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
105	15	OTHER	20	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
25	35	TUMOR	21	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
0	25	TUMOR	22	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
155	55	OTHER	23	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
55	55	OTHER	24	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
135	75	OTHER	25	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
135	35	T-CELL	26	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1
125	115	TUMOR	27	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
170	45	TUMOR	28	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
185	35	OTHER	29	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
130	65	TUMOR	30	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
35	35	TUMOR	31	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
70	45	OTHER	32	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
20	105	TUMOR	33	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
130	105	OTHER	34	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
65	115	OTHER	35	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
90	45	TUMOR	36	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
185	75	OTHER	37	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
45	55	OTHER	38	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
170	85	TUMOR	39	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
75	115	TUMOR	40	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
30	85	OTHER	41	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
170	25	OTHER	42	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
90	85	TUMOR	43	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	55	TUMOR	44	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
185	115	TUMOR	45	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
35	115	OTHER	46	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
140	85	TUMOR	47	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
165	115	TUMOR	48	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
130	45	OTHER	49	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
145	75	OTHER	50	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
70	125	OTHER	51	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
105	75	OTHER	52	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
125	75	OTHER	53	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
145	35	OTHER	54	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
30	125	TUMOR	55	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
120	5	TUMOR	56	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
199	5	TUMOR	57	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
170	105	TUMOR	58	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
165	15	OTHER	59	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
195	95	TUMOR	60	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
65	15	OTHER	61	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
115	15	OTHER	62	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
95	95	OTHER	63	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
120	25	OTHER	64	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
45	115	OTHER	65	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
80	125	OTHER	66	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
0	125	TUMOR	67	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
80	85	T-CELL	68	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
180	65	OTHER	69	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
5	35	OTHER	70	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
10	5	TUMOR	71	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
70	105	OTHER	72	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
105	95	TUMOR	73	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
160	5	OTHER	74	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
180	85	OTHER	75	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
110	25	OTHER	76	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
190	85	OTHER	77	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
15	55	TUMOR	78	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
199	105	TUMOR	79	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	15	OTHER	80	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
115	115	TUMOR	81	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
120	85	TUMOR	82	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
150	85	OTHER	83	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
60	45	TUMOR	84	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
165	35	TUMOR	85	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100	25	OTHER	86	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
25	15	TUMOR	87	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
80	25	TUMOR	88	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
199	45	TUMOR	89	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
105	35	OTHER	90	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100	85	OTHER	91	1	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	1
